Name,PA,R,HR,RBI,SO,TB,SB,OBP,zR,zHR,zRBI,zSO,zTB,zSB,zOBP,zTotal
Nolan Gorman,625,74,27,81,191,229,5,0.304,0.49,0.37,0.48,-1.03,0.57,0.08,-0.06,0.91
Carson Williams,625,75,22,75,191,219,15,0.296,0.5,0.3,0.44,-1.03,0.55,0.24,-0.09,0.91
Bryce Eldridge,625,66,24,79,173,233,4,0.308,0.44,0.33,0.47,-0.93,0.58,0.06,-0.05,0.9
Carlos Narváez,625,70,18,70,155,212,6,0.315,0.47,0.24,0.42,-0.83,0.53,0.09,-0.03,0.89
Denzel Clarke,625,75,16,69,185,217,17,0.308,0.5,0.22,0.41,-0.99,0.55,0.27,-0.05,0.89
Jordan Walker,625,66,18,70,161,217,11,0.305,0.43,0.24,0.41,-0.86,0.55,0.17,-0.06,0.89
Tyler Stephenson,625,71,20,74,165,220,4,0.318,0.47,0.27,0.44,-0.88,0.55,0.06,-0.03,0.88
Pedro Pagés,625,67,19,71,151,220,5,0.301,0.45,0.26,0.42,-0.81,0.55,0.08,-0.07,0.87
Christian Moore,625,71,18,69,177,218,11,0.309,0.47,0.24,0.41,-0.95,0.55,0.17,-0.05,0.84
Zach Cole,625,74,21,77,210,224,14,0.304,0.49,0.29,0.46,-1.13,0.56,0.22,-0.06,0.82
Brady House,625,67,18,73,165,224,7,0.288,0.44,0.24,0.43,-0.89,0.56,0.11,-0.11,0.79
Griffin Conine,625,71,20,74,180,218,5,0.311,0.47,0.28,0.44,-0.97,0.55,0.07,-0.05,0.79
Gabriel Arias,625,66,19,69,180,222,11,0.293,0.44,0.26,0.41,-0.97,0.56,0.17,-0.09,0.77
Ryan McMahon,625,69,21,71,186,211,5,0.308,0.46,0.29,0.42,-1.0,0.53,0.08,-0.05,0.73
Patrick Bailey,625,65,14,65,159,201,5,0.296,0.43,0.2,0.39,-0.85,0.51,0.07,-0.08,0.65
